timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-07-11T17:14:29,codecarbon,424221a5-e50e-48d5-bb34-1aeef544f2af,0.118804931640625,2.351185713161677e-07,1.9790303994061606e-06,27.0,2.428,2.7616195678710938,8.910369873046875e-07,7.30280023150974e-08,7.53812044604274e-08,1.0394461940802123e-06,Italy,ITA,apulia,,,Windows-10-10.0.22621-SP0,3.9.7,2.2.4,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650,16.3097,41.2325,7.36431884765625,machine,N,1.0
2023-07-11T17:14:31,codecarbon,8ddac9fa-6951-4584-94a6-ce9f94e122bf,0.0781614780426025,1.533318686821835e-07,1.961731949319187e-06,27.0,2.432,2.7616195678710938,5.86211085319519e-07,4.6344036526150185e-08,4.531658535597673e-08,6.778717072016459e-07,Italy,ITA,apulia,,,Windows-10-10.0.22621-SP0,3.9.7,2.2.4,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650,16.3097,41.2325,7.36431884765625,machine,N,1.0
2023-07-11T17:15:03,codecarbon,9c592a9d-5fd9-45d3-9b43-a4625cd3ac18,0.0999085903167724,1.951225343997599e-07,1.9530105847865527e-06,27.0,2.338,2.7616195678710938,7.417720556259155e-07,5.8051077392366224e-08,6.280279493694252e-08,8.626259279552242e-07,Italy,ITA,apulia,,,Windows-10-10.0.22621-SP0,3.9.7,2.2.4,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650,16.3097,41.2325,7.36431884765625,machine,N,1.0
2023-07-11T17:15:06,codecarbon,f2090458-e878-4c06-bf2f-5b05fe648ef9,0.0730748176574707,1.4458961111790666e-07,1.9786516853952728e-06,27.0,2.707,2.7616195678710938,5.480611324310303e-07,4.778857588768005e-08,4.33729619226142e-08,6.392226702413246e-07,Italy,ITA,apulia,,,Windows-10-10.0.22621-SP0,3.9.7,2.2.4,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650,16.3097,41.2325,7.36431884765625,machine,N,1.0
2023-07-11T17:15:08,codecarbon,ee87a439-ca10-48f2-a67a-b83fec04f7b9,0.0913693904876709,1.8028016541436948e-07,1.973091474641017e-06,27.0,2.5820000000000003,2.7616195678710938,6.852704286575317e-07,5.6784527169333566e-08,5.4953680109974815e-08,7.970086359368401e-07,Italy,ITA,apulia,,,Windows-10-10.0.22621-SP0,3.9.7,2.2.4,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650,16.3097,41.2325,7.36431884765625,machine,N,1.0
2023-07-11T17:15:11,codecarbon,bc6315fc-bfc7-4fd6-a846-4498d8a4b5ed,0.075394868850708,1.4648034802811968e-07,1.9428424010945693e-06,27.0,2.28,2.7616195678710938,5.6546151638031e-07,3.9799412091573086e-08,4.2320585030211093e-08,6.475815135020941e-07,Italy,ITA,apulia,,,Windows-10-10.0.22621-SP0,3.9.7,2.2.4,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650,16.3097,41.2325,7.36431884765625,machine,N,1.0
2023-07-11T17:15:13,codecarbon,018cbd7e-40e9-451a-8324-401f4482d7f9,0.0926716327667236,1.822201515920839e-07,1.9662991376312e-06,27.0,2.319,2.7616195678710938,6.950372457504273e-07,5.2915055155754095e-08,5.7632906577964614e-08,8.05585207484146e-07,Italy,ITA,apulia,,,Windows-10-10.0.22621-SP0,3.9.7,2.2.4,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650,16.3097,41.2325,7.36431884765625,machine,N,1.0
2023-07-11T17:15:16,codecarbon,5e66cb6e-3e86-45bc-8291-f54fc59b9e3a,0.0975174903869628,1.915258750544293e-07,1.964015627293403e-06,27.0,2.336,2.7616195678710938,7.313811779022217e-07,5.6724310980902784e-08,5.8619807118702753e-08,8.467252960018272e-07,Italy,ITA,apulia,,,Windows-10-10.0.22621-SP0,3.9.7,2.2.4,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650,16.3097,41.2325,7.36431884765625,machine,N,1.0
2023-07-11T17:15:28,codecarbon,12b39378-c1bf-4d21-8c5e-9b3cf89a36b8,0.099045991897583,1.950643708689525e-07,1.9694322519446903e-06,27.0,2.335,2.7616195678710938,7.428449392318726e-07,5.77551434437434e-08,6.176870752824471e-08,8.623687902038607e-07,Italy,ITA,apulia,,,Windows-10-10.0.22621-SP0,3.9.7,2.2.4,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650,16.3097,41.2325,7.36431884765625,machine,N,1.0
2023-07-11T17:15:31,codecarbon,46b07296-bd30-499f-84e7-8dc8e6b554b9,0.0791442394256591,1.5489222223050402e-07,1.957087759697224e-06,27.0,2.3690000000000007,2.7616195678710938,5.935817956924439e-07,4.5043415029843656e-08,4.6144733178152825e-08,6.847699439004404e-07,Italy,ITA,apulia,,,Windows-10-10.0.22621-SP0,3.9.7,2.2.4,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650,16.3097,41.2325,7.36431884765625,machine,N,1.0
